카테고리,회사명,제품,가격,사용시간,흡입력
핸디/스틱청소기,LG전자,코드제로 A9 A938A,716550,40.0,140.0
핸디/스틱청소기,다이슨,V10 모터헤드,532100,60.0,
핸디/스틱청소기,일렉트로룩스,에르고라피도 파워프로 ZB3426BL,182920,48.0,
핸디/스틱청소기,삼성전자,파워건 VS80M8080,519990,40.0,150.0
핸디/스틱청소기,일렉트로룩스,에르고라피도 플러스 ZB3105AK,363410,30.0,
핸디/스틱청소기,LG전자,코드제로 A9 A940,999990,80.0,140.0
핸디/스틱청소기,LG전자,코드제로 A9 A958A,888270,80.0,140.0
핸디/스틱청소기,DIBEA,NEW F7,185250,35.0,180.0
핸디/스틱청소기,일렉트로룩스,울트라파워 ZB5021,369220,50.0,
핸디/스틱청소기,다이슨,V8 앱솔루트 플러스,749990,40.0,115.0
핸디/스틱청소기,샤오미,로이드미 제로,221040,60.0,220.0
핸디/스틱청소기,샤오미,로이드미 F8,368550,,185.0
핸디/스틱청소기,삼성전자,제트 VS20R9078S3,726950,120.0,200.0
핸디/스틱청소기,삼성전자,파워건 VS80M8051KL,649500,40.0,150.0
핸디/스틱청소기,롯데,L-277,260600,30.0,160.0
핸디/스틱청소기,LG전자,코드제로 S74R,900000,35.0,
핸디/스틱청소기,DIBEA,AUTO17000,92070,,170.0
핸디/스틱청소기,다이슨,V10 플러피,551080,60.0,
핸디/스틱청소기,다이슨,V8 플러피 프로,659990,40.0,155.0
핸디/스틱청소기,삼성전자,제트 VS20R9048SB,679890,60.0,200.0
핸디/스틱청소기,LG전자,코드제로 A9 A960,1550000,80.0,140.0
핸디/스틱청소기,다이슨,V7 플러피 플러스,698380,30.0,100.0
핸디/스틱청소기,일렉트로룩스,울트라파워 ZB5022,700000,60.0,
핸디/스틱청소기,다이슨,V8 앱솔루트,623690,40.0,
핸디/스틱청소기,DIBEA,C17,207900,40.0,70.0
핸디/스틱청소기,다이슨,V8 앱솔루트 엑스트라,723980,40.0,155.0
핸디/스틱청소기,삼성전자,파워건 VS80M8090,929560,80.0,150.0
핸디/스틱청소기,EUP,스톰샷 VH806,109500,,
핸디/스틱청소기,삼성전자,뉴파워건 VS80N8062KK,674990,40.0,150.0
핸디/스틱청소기,다이슨,V8 플러피 헤파,1128000,40.0,115.0
핸디/스틱청소기,일렉트로룩스,에르고라피도 ZB3111,1233730,45.0,
핸디/스틱청소기,다이슨,V8 앱솔루트 프로,797840,40.0,155.0
핸디/스틱청소기,삼성전자,뉴파워건 VS75N8011,470600,40.0,130.0
핸디/스틱청소기,삼성전자,제트 VS19R1004BF,682140,40.0,150.0
핸디/스틱청소기,다이슨,V6 코드프리 플러스,869140,20.0,100.0
핸디/스틱청소기,LG전자,코드제로 A9 A950,973820,80.0,140.0
핸디/스틱청소기,삼성전자,파워건 VS80M8030,649990,40.0,150.0
핸디/스틱청소기,DIBEA,V008 프로,179000,30.0,170.0
핸디/스틱청소기,LG전자,코드제로 A9 A930,1200000,40.0,140.0
핸디/스틱청소기,삼성전자,파워건 VS80M8065K2,1440150,40.0,150.0
